file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,117,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,17
style.css,118,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,9
style.css,119,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,0
style.css,120,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,0
style.css,121,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,28
style.css,122,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,17
style.css,123,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,25
style.css,124,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,0
style.css,125,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,0
style.css,126,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,3
style.css,127,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,14
style.css,128,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,10
style.css,129,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,21
style.css,130,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,27
style.css,131,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,0
style.css,132,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,0
style.css,133,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,6
style.css,134,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,21
style.css,135,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,0
style.css,136,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,0
style.css,137,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,13
style.css,138,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,26
style.css,139,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,0
style.css,140,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,0
style.css,141,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,14
style.css,142,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,18
style.css,143,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,19
style.css,144,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,0
style.css,145,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,0
style.css,146,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,17
style.css,147,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,21
style.css,148,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,15
style.css,149,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,26
style.css,150,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,0
style.css,151,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,0
style.css,152,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,16
style.css,153,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,16
style.css,154,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,15
style.css,155,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,0
style.css,156,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,0
